title,price,size,Color,SKU,Category,short description,Description,path
Radiant Tee,£22.00,"XS, S, M, L, XL","Blue, Orange, Purple",WS12,Performance Fabrics|Clothing,This is a variable product called a Radiant Tee,"So light and comfy, you’ll love the Radiant Tee’s organic fabric, feel, performance and style. You may never want to stop moving in this shirt.
• Salmon soft scoop neck tee.
• Athletic, semi-form fit.
• Flat seams prevent chafing.
• 67% Organic Cotton / 28% Hemp / 5% Spandex.",Home/Clothing/Women/Tops/Tees|Clothing/Promotions/Tees|Clothing/Collections/Performance Fabrics|Clothing
Riona Full Zip Jacket,£60.00,"XS, S, M, L, XL","Brown, Green, Red",WJ05,Jackets,This is a variable product called a Riona Full Zip Jacket,"The Riona Basic Zip Jacket makes the perfect extra layer for cold-weather workouts. It features amazing breathability and moisture management, but full-length zipper lets you moderate your core temperature even more.
• Brown heather full zip rouched jacket.
• Side hand pockets for extra storage.
• High collar.
• Thick cuffs for extra coverage.
• Durable, shape retention material to longer wear.",Home/Clothing/Women/Tops/Jackets
Push It Messenger Bag,£45.00,"School, Urban, Yoga",Color-Blocked,24-WB04,Performance Fabrics,This is a simple product called Push It Messenger Bag,"The name says so, but the Push It Messenger Bag is much more than a busy commuter’s tote. It’s a closet away from home when you’re pedaling from class or work to gym and back or home again. It’s the perfect size and shape for laptop, folded clothes, even extra shoes.",Home/Gear/Bags|Collections/Performance Fabrics
Pursuit Lumaflex™ Tone Band,£16.00,Gym,"Men, Women, Unisex",24-UG02,Fitness Equipment,This is a simple product called Pursuit Lumaflex™ Tone Band,"Save your knees and joints while strengthening arms, legs and core with the Pursuit Lumaflex™ Tone Band. This ultra-durable training tool lets you complete a full-body workout free of bulky machines or free weights.",Home/Gear/Fitness Equipment
Proteus Fitness Jackshirt,£45.00,"XS, S, M, L, XL","Black, Blue, Orange",MJ12,Jackets,This is a variable product called a Proteus Fitness Jackshirt,"Part jacket, part shirt, the Proteus Fitness Jackshirt makes an ideal companion for outdoor training, camping or loafing on crisp days. Natural Cocona® technology brings breathable comfort and increased dryness along with UV protection and odor management. The drop-tail hem provides extra coverage when you’re riding a bike or replacing a sink valve.
• 1/4 zip. Stand-up collar. 
• Machine wash/dry.
• Quilted inner layer.",Home/Clothing/Men/Tops/Jackets
Primo Endurance Tank,£29.00,"XS, S, M, L, XL","Blue, Red, Yellow",MT03,Tanks,This is a variable product called a Primo Endurance Tank,"Chances are your workout goes beyond free weights, which is why the Primo Endurance Tank employs maximum versatility. Run, lift or play ball – this breathable mesh top will keep you cool during all your activities.
• Red heather tank with gray pocket.
• Chafe-resistant flatlock seams. 
• Relaxed fit. 
• Contrast topstitching.
• Machine wash/dry.",Home/Clothing/Men/Tops/Tanks
Portia Capri,£49.00,"28, 29","Blue, Green, Orange",WP13,Erin Recommends|Clothing,This is a variable product called a Portia Capri,"From yoga at dawn to evenings curled up with a book, our Portia Capri gives you the comfort and freedom to cruise through the day. The high-waisted design keeps you covered while you’re bending and stretching, while contrast stripes promise a dash of sporty style.
• Salmon heather capri sweats.
• Relaxed fit, high waist. 
• Inseam: 21″. 
• Wide elastic waistband. 
• Machine wash/dry.",Home/Clothing/Women/Bottoms/Pants|Clothing/Promotions/Pants|Clothing/Collections/Erin Recommends|Clothing
Prima Compete Bra Top,£24.00,"XS, S, M, L, XL","Blue, Purple, Yellow",WB04,Bras & Tanks,This is a variable product called a Prima Compete Bra Top,"Pull on the Prima Compete Bra Top and you’ll love the fabric: soft, stretchy, and ultra lightweight. But you’ll also love the racerback cut, for freer movement through all your athletic feats. 
`
• Colorblocked details.
• Machine wash/line dry.",Home/Clothing/Women/Tops/Bras & Tanks
Pierce Gym Short,£27.00,"32, 33, 34, 36","Black, Gray, Red",MSH12,Men Sale|Clothing,This is a variable product called a Pierce Gym Short,"The Pierce Gym Short is similar to our Arcadio Gym Short, but designed with a fitted, tapered look. A flat waistband with an adjustable drawstring adds comfort, with zippered pockets for safe, easy storage.
• Dark red cotton shorts. 
• 87% Supplex, 13% Lycra.
• Adjustable drawstring waistband.
• Built-in mesh brief.
• Machine wash cold, tumble dry low.",Home/Clothing/Men/Bottoms/Shorts|Clothing/Promotions/Men Sale|Clothing
Overnight Duffle,£45.00,"Overnight, Travel",Solid,24-WB07,New Luma Yoga Collection,This is a simple product called Overnight Duffle,"For long weekends away, camping outings and business trips, the Overnight Duffle can’t be beat. The dual handles make it a cinch to carry, while the durable waterproof exterior helps you worry less about the weather. With multiple organizational pockets inside and out, it’s the perfect travel companion.",Home/Gear/Bags|Collections/New Luma Yoga Collection
Phoebe Zipper Sweatshirt,£59.00,"XS, S, M, L, XL","Gray, Purple, White",WH07,Erin Recommends|Clothing,This is a variable product called a Phoebe Zipper Sweatshirt,"A sophisticated layer of warmth awaits you in our full-zip sweatshirt jacket. You’ll reach for this one in any season to enjoy its sturdy exterior and plush interior.
• Gray full zip hoodie with yellow detail.
• Hand-warmer pockets. 
• Zip MP3 pocket with outlet for earphones wire. 
• Polyester/cotton. 
• Washable.",Home/Clothing/Women/Tops/Hoodies & Sweatshirts|Clothing/Collections/New Luma Yoga Collection|Clothing/Collections/Erin Recommends|Clothing
Oslo Trek Hoodie,£42.00,"XS, S, M, L, XL","Brown, Purple, Red",MH08,Hoodies & Sweatshirts,This is a variable product called a Oslo Trek Hoodie,"Chilly weather is just an excuse to throw on your toasty, handsome new Oslo Trek Hoodie. It features an adjustable drawstring hood and a kangaroo pocket for extra hand warmth. The ultra-soft, cozy lining will have you wishing for more brisk days.
• Brown hoodie with black detail.
• Pullover. 
• Adjustable drawstring hood. 
• Ribbed cuffs/waistband. 
• Machine wash/dry.",Home/Clothing/Men/Tops/Hoodies & Sweatshirts
Orestes Fitness Short,£35.00,"32, 33, 34, 36","Black, Blue, Green",MSH08,Men Sale|Clothing,This is a variable product called a Orestes Fitness Short,"You’re out of excuses not to run, lift, or play when you own a pair of the Orestes Fitness Short. You won’t complain about the high-performance polyester wicking fabric, reflective safety trim or seamless built-in comfort brief, either.
• Black shorts with dark gray accents.
• Elasticized waistband with interior drawstring.
• Ventilating mesh detailing.
• 100% polyester and recycled polyester.
• Machine wash cold, tumble dry low.",Home/Clothing/Men/Bottoms/Shorts|Clothing/Promotions/Men Sale|Clothing
Nora Practice Tank,£39.00,"XS, S, M, L, XL","Orange, Purple, Red",WT03,Erin Recommends|Clothing,This is a variable product called a Nora Practice Tank,"A closet go-to, the Nora Practice Tank can be worn at or after workouts or beneath a baggy tee for a laid-back style. Perfect fit and very comfortable!
• Pink stripped tank with side rouching.
• Pre-shrunk.
• Garment dyed.
• 92% Organic Cotton/8% Lycra.",Home/Clothing/Women/Tops/Bras & Tanks|Clothing/Collections/New Luma Yoga Collection|Clothing/Collections/Erin Recommends|Clothing
Olivia 1/4 Zip Light Jacket,£77.00,"XS, S, M, L, XL","Black, Blue, Purple",WJ12,Performance Fabrics|Clothing,This is a variable product called a Olivia 1/4 Zip Light Jacket,"Running errands or headed to the gym, you just want to be comfortable. The Olivia Light Jacket promises that, plus a laid-back look. This zip-up is designed with shoulder stripes for an athletic touch, and banded waist and contoured seams for a flattering silhouette.
• Loose fit.• Reflectivity.• Flat seams.• Machine wash/dry.",Home/Clothing/Women/Tops/Jackets|Clothing/Promotions/Women Sale|Clothing/Collections/Performance Fabrics|Clothing
Nona Fitness Tank,£39.00,"XS, S, M, L, XL","Blue, Purple, Red",WT04,Performance Fabrics|Clothing,This is a variable product called a Nona Fitness Tank,"It doesn’t matter if your goal is 5 miles or an hour of Vinyasa, because our Nona Fitness Tank does it all. You don’t have to sacrifice either — this v-neck top features smooth, chafe-free seams and a breathable mesh back insert. Cute, too.
• Blue/white striped mesh tank.
• Relaxed fit. 
• Chafe-resistant trim around armholes and collar. 
• Machine wash/dry.",Home/Clothing/Women/Tops/Bras & Tanks|Clothing/Collections/Performance Fabrics|Clothing
Neve Studio Dance Jacket,£69.00,"XS, S, M, L, XL","Black, Blue, Orange",WJ11,New Luma Yoga Collection|Clothing,This is a variable product called a Neve Studio Dance Jacket,"If you’re constantly on the move, the Neve Studio Dance Jacket is for you. It’s not just for dance, either, with a tight fit that works as a mid-layer. The reversible design makes it even more versatile.
• Bright blue 1/4 zip pullover.
• CoolTech™ liner is sweat-wicking.
• Sleeve thumbholes.
• Zipper garage to protect your chin.
• Stretchy collar drawcords.",Home/Clothing/Women/Tops/Jackets|Clothing/Collections/New Luma Yoga Collection|Clothing
Nadia Elements Shell,£69.00,"XS, S, M, L, XL","Black, Orange, Yellow",WJ10,Performance Fabrics|Clothing,This is a variable product called a Nadia Elements Shell,"Protect yourself from wind and rain in the stylish Nadia Elements Shell. It repels water using hydro-resistant fabric, with fleece lining that adds a touch of warmth. It’s finished with bold contrast zippers, adjustable cuffs and a hood.
• Zippered front. 
• Zippered side pockets. 
• Drawstring-adjustable waist and hood. 
• Machine wash/line dry.
• Light blue 1/4 zip pullover.",Home/Clothing/Women/Tops/Jackets|Clothing/Collections/New Luma Yoga Collection|Clothing/Collections/Performance Fabrics|Clothing
Montana Wind Jacket,£49.00,"XS, S, M, L, XL","Black, Green, Red",MJ03,Jackets,This is a variable product called a Montana Wind Jacket,"Light-as-a-feather wind protection for runners, walkers and outdoor fitness buffs, the Montana Wind Jacket can be stuffed into your pocket for portable protection. Its stylish, move-with-you design makes it especially versatile.
Adjustable hood. 
Split pocket. 
Thumb holes. 
Machine wash/hang to dry.",Home/Clothing/Men/Tops/Jackets
Mona Pullover Hoodlie,£57.00,"XS, S, M, L, XL","Green, Orange, Purple",WH01,Erin Recommends|Clothing,This is a variable product called a Mona Pullover Hoodlie,"Whether you’re after energizing activity or eye-catching apparel, the Mona Pullover is what you want. You’ll stay warm and look fashionable, wherever you are.
 • Light green heathered hoodie. 
 • Long-Sleeve, pullover.
 • Long elliptical hem for extra coverage.
 • Deep button placket for layering.
 • Double rib design.
 • Mid layer, mid weight.
 • 98% Merino Wool / 2% Spandex",Home/Clothing/Women/Tops/Hoodies & Sweatshirts|Clothing/Collections/New Luma Yoga Collection|Clothing/Collections/Erin Recommends|Clothing
Mimi All-Purpose Short,£44.00,"28, 29, 30, 31, 32","Gray, Green, White",WSH09,Shorts,This is a variable product called a Mimi All-Purpose Short,"You can run, bike or swim in the do-anything, water-resistance Mimi Short. No need to worry about rubbing-induced soreness either, with flatlock seams and soft, chafe-resistant material.
• Gray/seafoam two-layer shorts.
• Water-resistant construction.
• Inner mesh brief for breathable support.
• 2.0″ inseam.
• Reflective trim for visibility.",Home/Clothing/Women/Bottoms/Shorts
Mithra Warmup Pant,£28.00,"32, 33, 34, 36","Gray, Green, Orange",MP06,Eco Friendly|Clothing,This is a variable product called a Mithra Warmup Pant,"When you’re not sure you’re up to the weather, don the Mithra Warmup Pant for a confidence boost. Its supersoft, stretchy fabric and fleece-like finish help prep your muscles and ease your mind. Designed for relaxed, easy-wear fit with handy ankle zips.
• Ankle zips.
• Elasticized waistband with draw cord.
• Dual hand pockets.
• Reflective elements for low-light safety.",Home/Clothing/Men/Bottoms/Pants|Clothing/Promotions/Pants|Clothing/Collections/Eco Friendly|Clothing
Minerva LumaTech™ V-Tee,£32.00,"XS, S, M, L, XL","Black, Blue, Red",WS08,Women Sale|Clothing,This is a variable product called a Minerva LumaTech™ V-Tee,"Don’t be fooled by the simple design of our Minerva LumaTech™ V-Neck Tee. This classic training top features the same serious sweat-wicking technology as some of the more expensive tees in our lineup.
• Navy blue heather soft v-neck tee.
• Flatlock seams for chafe-free comfort.
• Relaxed cut.
• Ultra-lightweight fabric.
• Machine wash/dry.",Home/Clothing/Women/Tops/Tees|Clothing/Promotions/Tees|Clothing/Promotions/Women Sale|Clothing
Meteor Workout Short,£32.50,"32, 33, 34, 36","Black, Blue, Green",MSH03,Performance Fabrics|Clothing,This is a variable product called a Meteor Workout Short,"Step into the Meteor Workout Short for an incredibly lightweight fitness experience. Its breathable construction and an inner brief provide additional comfort and support, while the adjustable waistband offers the perfect fit to take you to the finish.
• Royal blue shorts with light blue accents.
• Interior drawstring waistband. 
• 7″ inseam. 
• Machine wash/dry.",Home/Clothing/Men/Bottoms/Shorts|Clothing/Collections/Performance Fabrics|Clothing
Miko Pullover Hoodie,£69.00,"XS, S, M, L, XL","Blue, Orange, Purple",WH04,Hoodies & Sweatshirts,This is a variable product called a Miko Pullover Hoodie,"After quality gym time, put on the Miko Pullover Hoody and keep your body warm. You’ll find it’s fashionable enough for the streets, but comfy enough to relax in at home.
• Teal two-tone hoodie.
• Low scoop neckline.
• Adjustable hood drawstrings.
• Longer rounded hemline for extra back coverage.
• Long-Sleeve style.",Home/Clothing/Women/Tops/Hoodies & Sweatshirts
Sylvia Capri,£42.00,"28, 29","Blue, Green, Red",WP11,Pants|Clothing,This is a variable product called a Sylvia Capri,"Enjoy a sleek, slendering look in new Silvia Capri. Its engineer-designed support fabric feels great and gives the illusion of a slimmer fit.
• Green striped capri.
• Strategic side seam
• Comfort gusset with lining.
• Flat seaming.
• Wide waistband.
• Moisture wicking.",Home/Clothing/Women/Bottoms/Pants|Clothing/Promotions/Pants|Clothing
Maya Tunic,£29.00,"XS, S, M, L, XL","Green, White, Yellow",WT07,Performance Fabrics|Clothing,This is a variable product called a Maya Tunic,"With abutted seams and moisture wicking capacity, the Maya Tunic lets you work out in complete comfort.
• Mint green heather tunic-style tank. 
• Wrapped back with cut out detail.
• Drawcord detail at end.
• Abutted seams.",Home/Clothing/Women/Tops/Bras & Tanks|Clothing/Collections/Performance Fabrics|Clothing
Sybil Running Short,£44.00,"28, 29, 30, 31, 32",Purple,WSH08,Performance Fabrics|Clothing,This is a variable product called a Sybil Running Short,"Fortunately, it’s okay to look cute while you’re working out. The Sybil Running Short combines a fun, color-blocked design with breathable mesh fabric for sporty-fun style.
• Blue running shorts with green waist.
• Drawstring-adjustable waist.
• 4″ inseam. Machine wash/line dry.",Home/Clothing/Women/Bottoms/Shorts|Clothing/Collections/Performance Fabrics|Clothing
Summit Watch,£54.00,"Recreation, Athletic, Sports, Outdoor, Gym","Men, Women, Unisex",24-MG03,New Luma Yoga Collection,This is a simple product called Summit Watch,"Trek high and low in the attractive Summit Watch, which features a digital LED display with time and date, stopwatch, lap counter, and 3-second backlight. It can also calculate the number of steps taken and calories burned.",Home/Gear/Watches|Collections/New Luma Yoga Collection
Strive Shoulder Pack,£32.00,"Gym, Trail, Urban, Hiking",Solid,24-MB04,Erin Recommends,This is a simple product called Strive Shoulder Pack,"Convenience is next to nothing when your day is crammed with action. So whether you’re heading to class, gym, or the unbeaten path, make sure you’ve got your Strive Shoulder Pack stuffed with all your essentials, and extras as well.",Home/Gear/Bags|Collections/Erin Recommends
Supernova Sport Pant,£45.00,"32, 33, 34, 36","Black, Gray, Green",MP04,Pants|Clothing,This is a variable product called a Supernova Sport Pant,"Turn the corner and open it up — your driveway is two blocks away. The Supernova Sport Pant gets you there with key features like moisture-wicking LumaTech™ fabric and mesh ventilation. Side seam pockets ensure total convenience during rest periods.
• Dark heather gray straight leg cotton pants.
• Relaxed fit. 
• Internal drawstring. 
• Machine wash/dry.",Home/Clothing/Men/Bottoms/Pants|Clothing/Promotions/Pants|Clothing
Sprite Yoga Strap 8 foot,£17.00,Yoga,"Men, Women, Unisex",24-WG086,Fitness Equipment,This is a simple product called Sprite Yoga Strap 8 foot,"The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines. The strap’s 100% organic cotton fabric is woven tightly to form a soft, textured yet non-slip surface. The plastic clasp buckle is easily adjustable, lightweight and durable under strain.",Home/Gear/Fitness Equipment
Stellar Solar Jacket,£75.00,"XS, S, M, L, XL","Blue, Red, Yellow",WJ01,Erin Recommends|Clothing,This is a variable product called a Stellar Solar Jacket,"Beat the heat and protect yourself from sunrays with the Stellar Solar Jacket. It’s loaded with all the engineered features you need for an intense, safe outdoor workout: 100% UV protection, a breathable perforated construction, and advanced moisture-wicking technology.
• Loose fit. 
• Reflectivity. 
• Flat seams. 
• Machine wash/dry.
• Deep pink jacket with front panel rouching",Home/Clothing/Women/Tops/Jackets|Clothing/Collections/New Luma Yoga Collection|Clothing/Collections/Erin Recommends|Clothing
Strike Endurance Tee,£39.00,"XS, S, M, L, XL","Black, Blue, Red",MS08,Tees,This is a variable product called a Strike Endurance Tee,"While grit and purpose keep you going, it helps to have a little extra comfort, too. Our Strike Long-Sleeve Endurance Tee helps ensures a photo-ready finish with advanced sweat-wicking technology for a cool, dry feel.
• Loose fit. 
• Ribbed cuffs/collar. 
• Machine wash/dry.",Home/Clothing/Men/Tops/Tees
Sprite Yoga Strap 6 foot,£14.00,Yoga,"Men, Women, Unisex",24-WG085,Fitness Equipment,This is a simple product called Sprite Yoga Strap 6 foot,"The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines. The strap’s 100% organic cotton fabric is woven tightly to form a soft, textured yet non-slip surface. The plastic clasp buckle is easily adjustable, lightweight and durable under strain.",Home/Gear/Fitness Equipment
Stark Fundamental Hoodie,£42.00,"XS, S, M, L, XL","Black, Blue, Purple",MH06,Hoodies & Sweatshirts,This is a variable product called a Stark Fundamental Hoodie,"You don’t need bells and whistles when performance speaks for itself. The full-zip Stark Fundamental Hoodie give just what you need. Hood and fleece lining keep you warm, while breathable fabric and wicking technology won’t let you overheat.
• Navy specked full zip hoodie.
• Ribbed cuffs, banded waist.
• Side pockets. 
• Machine wash/dry.",Home/Clothing/Men/Tops/Hoodies & Sweatshirts
Sprite Yoga Strap 10 foot,£21.00,Yoga,"Men, Women, Unisex",24-WG087,Fitness Equipment,This is a simple product called Sprite Yoga Strap 10 foot,"The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines. The strap’s 100% organic cotton fabric is woven tightly to form a soft, textured yet non-slip surface. The plastic clasp buckle is easily adjustable, lightweight and durable under strain.",Home/Gear/Fitness Equipment
Sprite Stasis Ball 75 cm,£32.00,"Yoga, Gym","Men, Women, Boys, Girls, Unisex",24-WG083-blue,Fitness Equipment,This is a simple product called Sprite Stasis Ball 75 cm,"The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it’s a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.",Home/Gear/Fitness Equipment
Sprite Stasis Ball 75 cm,£32.00,"Yoga, Gym","Men, Women, Boys, Girls, Unisex",24-WG083-pink,Fitness Equipment,This is a simple product called Sprite Stasis Ball 75 cm,"The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it’s a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.",Home/Gear/Fitness Equipment
Sprite Stasis Ball 55 cm,£23.00,"Yoga, Gym","Men, Women, Boys, Girls, Unisex",24-WG081-pink,Fitness Equipment,This is a simple product called Sprite Stasis Ball 55 cm,"The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it’s a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.",Home/Gear/Fitness Equipment
Sprite Stasis Ball 75 cm,£32.00,"Yoga, Gym","Men, Women, Boys, Girls, Unisex",24-WG083-gray,Fitness Equipment,This is a simple product called Sprite Stasis Ball 75 cm,"The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it’s a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.",Home/Gear/Fitness Equipment
Sprite Stasis Ball 55 cm,£23.00,"Yoga, Gym","Men, Women, Boys, Girls, Unisex",24-WG081-gray,Fitness Equipment,This is a simple product called Sprite Stasis Ball 55 cm,"The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it’s a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.",Home/Gear/Fitness Equipment
Sprite Foam Yoga Brick,£5.00,"Yoga, Recreation, Sports, Gym","Men, Women, Unisex",24-WG084,Fitness Equipment,This is a simple product called Sprite Foam Yoga Brick,"Our top-selling yoga prop, the 4-inch, high-quality Sprite Foam Yoga Brick is popular among yoga novices and studio professionals alike. An essential yoga accessory, the yoga brick is a critical tool for finding balance and alignment in many common yoga poses. Choose from 5 color options.",Home/Gear/Fitness Equipment
Sprite Foam Roller,£19.00,"Yoga, Gym","Men, Women, Unisex",24-WG088,Fitness Equipment,This is a simple product called Sprite Foam Roller,"It hurts so good to use the Sprite Foam Roller on achy, tired muscles for myofascial massage therapy. Or you can add this fundamental piece to your Pilates and yoga accouterment, or apply towards core stability, strengthening and balance exercise. ",Home/Gear/Fitness Equipment
Sparta Gym Tank,£29.00,"XS, S, M, L, XL",Green,MT08,Tanks,This is a variable product called a Sparta Gym Tank,"The high performance Sparta Gym Tank is made with thin, light, merino wool and aims to be the perfect base layer or balmy weather running and fitness top.
• Green polyester tank.
• Ultra lightweight.
• Naturally odor-resistant.
• Close-to-body athletic fit.
• Chafe-resistant flatlock seams.",Home/Clothing/Men/Tops/Tanks
Sol Active Short,£32.00,"32, 33, 34, 36","Blue, Green, Purple",MSH10,New Luma Yoga Collection|Clothing,This is a variable product called a Sol Active Short,"You’ll let your fear go and push your limits in your new Sol Active Short. Featuring ultra-breathable performance fabric and a flat comfort-fit waistband, the Sol Active Short is perfect for high-intensity circuits or high-heat bikram.
• Light blue jersey shorts with mesh detail.
• 87% Spandex 13% Lycra.
• Machine wash cold, tumble dry low.
• Superior performance fabric.
• Flat-lock seams.",Home/Clothing/Men/Bottoms/Shorts|Clothing/Collections/New Luma Yoga Collection|Clothing
Savvy Shoulder Tote,£32.00,"Gym, Yoga",Solid,24-WB05,Erin Recommends,This is a simple product called Savvy Shoulder Tote,"Powerwalking to the gym or strolling to the local coffeehouse, the Savvy Shoulder Tote lets you stash your essentials in sporty style! A top-loading compartment provides quick and easy access to larger items, while zippered pockets on the front and side hold cash, credit cards and phone.",Home/Gear/Bags|Collections/Erin Recommends
Sinbad Fitness Tank,£29.00,"XS, S, M, L, XL",Blue,MT09,Tanks,This is a variable product called a Sinbad Fitness Tank,"Solid in color and construction, the 100% cotton-weave Sinbad Fitness Tank moves with you as you press, hold, crunch and stride your way to the ultimate you.
• Teal polyester tank.
• Premium fit tank top.
• Ultra lightweight.
• Naturally odor-resistant.",Home/Clothing/Men/Tops/Tanks
Sahara Leggings,£75.00,"28, 29","Blue, Gray, Red",WP05,Erin Recommends|Clothing,This is a variable product called a Sahara Leggings,"Contrast colors, full-length leggings, and opaque, high-stretch fabric define the Sahara. Flat-locked seams and quick-drying wicking properties prevent chafing. A deep elasticated waistband and carefully positioned seamlines create a flattering silhouette.
• Pinstripe legging with rouched ankles.
• Secret pocket at waistband.
• Flat seams for comfort.
• Shaped fit with low rise.
• 4-way stretch, moisture-wicking material.",Home/Clothing/Women/Bottoms/Pants|Clothing/Promotions/Pants|Clothing/Collections/Erin Recommends|Clothing
Selene Yoga Hoodie,£42.00,"XS, S, M, L, XL","Orange, Purple, White",WH05,Hoodies & Sweatshirts,This is a variable product called a Selene Yoga Hoodie,"The Selene Yoga Hoodie gets you to and from the studio in semi form-fitted comfort. Snug, sleek contours add fashion to function in this free-moving yoga warm up sweatshirt.
• Ivory heather full zip 3/4 sleeve hoodie.
• Zip pocket at arm for convenient storage.
• 24.0″ body length.
• 89% Polyester / 11% Spandex.",Home/Clothing/Women/Tops/Hoodies & Sweatshirts
Ryker LumaTech™ Tee (V-neck),£28.00,"XS, S, M, L, XL","Black, Blue, Gray",MS02,Tees,This is a variable product called a Ryker LumaTech™ Tee (V-neck),"Don’t be fooled by its classic style; the Ryker LumaTech™ Tee embodies the future of performance apparel. Its featherweight blend of fabrics wicks away moisture to keep you cool and dry, whether racking up miles, hitting three pointers or strutting the boardwalk.
• Relaxed fit. 
• Short-Sleeve. 
• Machine wash/dry.",Home/Clothing/Men/Tops/Tees
Ryker LumaTech™ Tee (Crew-neck),£32.00,"XS, S, M, L, XL","Black, Blue, Red",MS09,Tees,This is a variable product called a Ryker LumaTech™ Tee (Crew-neck),"The crew-neck Ryker LumaTech™ Tee hides premium performance technology beneath unassuming looks. The featherweight blend of fabrics wicks away moisture to keep you cool and dry in every phase of your active life.
• Royal polyester tee with black accents.
• Relaxed fit. 
• Short-Sleeve. 
• Machine wash/dry.",Home/Clothing/Men/Tops/Tees
Zing Jump Rope,£12.00,Gym,"Men, Women, Unisex",24-UG04,Fitness Equipment,This is a simple product called Zing Jump Rope,"One of the world’s simplest and most portable exercise devices, a jump rope enables endless variations and fitness output. The Zing Jump Rope goes anywhere and can be used any time. It is adjustable in length and has contoured foam handles for a great grip.",Home/Gear/Fitness Equipment
Wayfarer Messenger Bag,£45.00,"Gym, Overnight, Travel",Solid,24-MB05,New Luma Yoga Collection,This is a simple product called Wayfarer Messenger Bag,"Perfect for class, work or the gym, the Wayfarer Messenger Bag is packed with pockets. The dual-buckle flap closure reveals an organizational panel, and the roomy main compartment has spaces for your laptop and a change of clothes. An adjustable shoulder strap and easy-grip handle promise easy carrying.",Home/Gear/Bags|Collections/New Luma Yoga Collection
Zoe Tank,£29.00,"XS, S, M, L, XL","Green, Orange, Yellow",WT02,Bras & Tanks,This is a variable product called a Zoe Tank,"The Zoe Tank leads with eye-catching fitness-pop looks, keeping your studio style uptrend. The inner shelf bra and soft, breathable fabric create a tank top that looks, feels and fits great.
• Salmon heather tank top.
• 1″ elastic band on inner bra.
• Mesh lining on shelf bra for support.
• Soft, breathable fabric.
• Dry wick fabric to stay cool and dry.",Home/Clothing/Women/Tops/Bras & Tanks
Zeppelin Yoga Pant,£82.00,"32, 33, 34, 36","Blue, Green, Red",MP08,New Luma Yoga Collection|Clothing,This is a variable product called a Zeppelin Yoga Pant,"Climb every mountain, or hold every pose, in the all-purpose Zepellin Yoga Pant. With its thin fleece interior and smooth layer-friendly surface, you’ll get all the comfort and versatility you need.
• Smooth exterior for easy over-layering.
• Brushed fleece interior insulates and wicks. 
• No-roll elastic waistband with inner drawstring.
• Chafe-resistant flatlock seams.",Home/Clothing/Men/Bottoms/Pants|Clothing/Promotions/Pants|Clothing/Collections/New Luma Yoga Collection|Clothing
Vulcan Weightlifting Tank,£28.00,"XS, S, M, L, XL",Black,MT06,Tanks,This is a variable product called a Vulcan Weightlifting Tank,"The Olympic styled Vulcan Weightlifting Tank features polyester stretch and flex. Hit the rack in sleeveless style and unleash your personal best. This tank is designed to max performance, comfort and range of motion.
• Black polyester spandex tank.
• 100% polyester.
• Freedom of movement.
• No-chafe seams.",Home/Clothing/Men/Tops/Tanks
Voyage Yoga Bag,£32.00,"Gym, Yoga",Solid,24-WB01,Bags,This is a simple product called Voyage Yoga Bag,"Everything you need for a trip to the gym will fit inside this surprisingly spacious Voyage Yoga Bag. Stock it with a water bottle, change of clothes, pair of shoes, and even a few beauty products. Fits inside a locker and zips shut for security.",Home/Gear/Bags
Viktor LumaTech™ Pant,£46.00,"32, 33, 34, 36","Blue, Gray, Red",MP02,Performance Fabrics|Clothing,This is a variable product called a Viktor LumaTech™ Pant,"You’ll love the new Viktor LumaTech™ Pant, with featherweight fleece fabric lining and stretchy, sweat-wicking material. It delivers toasty warmth on the sidelines or in cold-weather training, with reflective trim for a safe finish.
• Dark gray polyester/spandex straight leg pants.
• Elastic waistband and internal drawstring.
• Relaxed fit. 
• Machine wash/dry.",Home/Clothing/Men/Bottoms/Pants|Clothing/Promotions/Pants|Clothing/Collections/Performance Fabrics|Clothing
